CityObject,Zone
<http://localhost/berlin/cityobject/UUID_d77e7e72-20c9-4826-aaa7-1c95c099b077/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_7873ba49-d760-4af1-a4b7-5c208c84872c/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_f223a152-f1f7-4461-880b-d24fd0cc7c0d/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_a1638803-2ab1-4bca-9fc4-c13baab6ef1a/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_d2316e72-96d0-4c8d-a842-4c07d9b1aa04/>,WHITE
<http://localhost/berlin/cityobject/UUID_845eb3aa-9c66-4869-a64b-d5edb5a1f99a/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_895a6767-cfed-477a-9e1a-66b1991ab883/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_5a28edc2-6b70-4620-b42a-82a447f5b524/>,WHITE
<http://localhost/berlin/cityobject/UUID_7c63b3be-bd4e-49fd-8d2a-6d29acb196f6/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_ef250ee6-3260-4047-b214-569bb4855e1e/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_894abd82-1096-4680-8c45-687c4c872518/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_05a1b8da-725e-439b-be52-f0e4cfae79bd/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_ea6eea78-87f7-4b9a-830c-04ace283b5a9/>,HOTEL
<http://localhost/berlin/cityobject/UUID_e28538b4-57c7-4cb7-b3a0-5ee6d258930f/>,WHITE
<http://localhost/berlin/cityobject/UUID_ca298f25-95be-4d2a-81d5-23e9bf11d150/>,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY
<http://localhost/berlin/cityobject/UUID_0e51ad65-1d10-4d01-8a14-3359d0a64084/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_1437ceab-f69b-4918-a2b4-df65fa06fe40/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_b1b63f4e-7879-4192-af46-8f6f47fbb131/>,WHITE
<http://localhost/berlin/cityobject/UUID_bb4655b7-5014-4b99-ad3e-19b03e2fa1d9/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_22aa8240-273e-4b56-ba60-19ba1d511649/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_64af470f-a36e-407d-88b3-f4b70c2b7b75/>,WHITE
<http://localhost/berlin/cityobject/UUID_d47c9821-3afa-4f71-a105-a5c197dcbe61/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_d243573e-c6bb-4b28-b9f0-e7c801301e96/>,WHITE
<http://localhost/berlin/cityobject/UUID_2daa094a-bc6c-43bd-bdec-576f52b01f68/>,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY
<http://localhost/berlin/cityobject/UUID_46089774-1c90-46a0-8f4f-782a0bc820f3/>,COMMERCIAL
